1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Customer is asking about billing delivery via e-mail. Customer not receive 1st bill after service installation,Customer is asking for recent bill amount and outstanding payment if any,Customer is asking about turbo service upgrading for this account,Customer not able to use Internet and homeline/phone since last night. Suspected all service down. ,Customer really angry since no one from TM calling customer and arrange for appointment since internet has been down for 5 days,Customer request for technical (restorer) name and contact details,Customer request to communicate with Live Chat Agents instead of virtual agents as customer insist to proceed with complaint due to long restoration,Customer is asking about contract validity period,Customer wants to make payment and would like to know the outstanding amount.             ,"Customer face difficulties  to  make calls, when he tries to make a call the phone display as no service","Customer has outstanding amount to pay however, the autopay did not function. ",Customer complains unable to receive calls since yesterday.       ,Customer complaint unable to browse internet once purchased data reload pass.       ,"Customer is in china, he tries making a call but failed to do so.   ",Customer has multiple account in unifi and would like to know the account number.                        ,Customer wrongly entered the sim pin and the phone was blocked and request for PUK Code.       
I did not get any first bill after service installation. What is my e-mail?,What is my bill amount and oustanding payment?,Can I get my account upgraded to turbo?,I cannot get use my internet and phone. What happen?,MY INTERNET IS DOWN FOR 5 DAYS. DO SOMETHING,Who is my technical restorer? ,I want to speak to your manager,What is my validity period?,What is my payment amount outstanding?,"I can't make a call, there is no service","Autopay is down, what is my outstanding amount?",I cannot receive any calls since yesterday,My internet is down. I bought the reload pass,"I cannot call anyone, I am in China.",I want to know my Unifi account numbers,I entered the wrong SIM Pin and I am blocked. Please Advise
Where is my first bill? It is not in my email.,Recent bill amount and outstanding payment amount,Can I upgrade to turbo?,Can you check my connection for my internet and phone?,Where is my appointment? It has been 5 days. ,I would like details of my restorer,I want to talk to agent,Contract validity period?,"I would like to pay, what account amount?","No service, I need help",I would like to pay outstanding bills but autopay is not working.,cannot get any calls please help,I can't connect to the internet even though I have the reload pass,I tried to make a call from China but it is not working.,What are my unifi account numbers?,My phone was blocked. Can I get my PUK Code?
I did not get any first bill delivery to my email after the installation. Please advise,Do you know my bill and outstanding payment amount?,I would like to upgrade this account for turbo service.,"I cannot access internet and mobile, can you check my service connection?","No internet for 5 days, call your people down now",Please give me details of technical restorer,Connect me to your officers now,Do you know my contract validity?,Please let me know my outstanding bill amount?,I can't call anyone as there is no service,I want to pay my outstanding amount please,My phone can't be called since yesterday,My internet is not working after buying reload pass,I cannot call anyone from China,Unifi account numbers please,Cannot use phone. PUK Code please
Can I get my bill delivery to my email? I did not receive any bills after my first installation,What is my outstanding payment and bill amount?,Upgrade this account for turbo please,Is there a problem with my service connection?,"Follow up on my appointment, it has been five days",Technical restorer details,Live chat agent please,what is the validity of this contract?,Do you know my outstanding amount?,I would like to make a call but there is no service,What is wrong with autopay? I can't pay my outstanding amount,"No one can call me today, why?",I bought reload pass but internet is not working,Do you support calling people from China?,What unifi account numbers do I have?,"my phone is blocked, can I have my PUK Code?"
Is there any billing delivery after first installation?,What outstanding payment amount? Bill amount?,I want upgrade my account to turbo,I have a problem with my internet and mobile. I would like it checked,TM has not done anything for 5 days. Where is MY APPOINTMENT?,Give technical restorer details,Talk to live chat agent,My TM contract validity period is?,Can I have my outstanding bill amount as I want to pay?,cannot call no service,"Can I pay my oustanding amount, autopay is dead.",Saya tidak dapat menerima sebarang panggilan sejak semalam,I cannot go on the internet after buying reload pass,I have tried to make a call but it is not working from China,I have multiple unifi accounts. What are the numbers?,I would like to get my PUK Code
Saya tidak mendapat bil pertama selepas pemasangan perkhidmatan. Apakah e-mel saya?,Apakah jumlah tagihan saya dan pembayaran yang saya terima?,Bolehkah saya meningkatkan akaun saya ke turbo?,Saya tidak dapat menggunakan internet dan telefon saya. Apa yang terjadi?,INTERNET saya turun selama 5 hari. LAKUKAN SESUATU,Siapa pembaikian teknikal saya?,Saya mahu bercakap dengan pengurus anda,Apakah tempoh sah saya?,Apakah jumlah bayaran saya yang belum dijelaskan?,"Saya tidak boleh membuat panggilan, tiada perkhidmatan","Autopay turun, berapakah jumlah yang saya berikan?",tidak boleh mendapatkan apa-apa panggilan sila tolong,Internet saya turun. Saya membeli pasang tambah nilai,"Saya tidak boleh menghubungi sesiapa pun, saya di China.",Saya ingin tahu nombor akaun Unifi saya,Saya memasuki PIN SIM salah dan saya disekat. Tolonglah Nasihat
Di mana bil pertama saya? Ia tidak dalam e-mel saya.,Amaun bil terkini dan amaun bayaran tertunggak,Bolehkah saya meningkatkan ke turbo?,Bolehkah anda menyemak sambungan saya untuk internet dan telefon saya?,Di manakah pelantikan saya? Ia telah 5 hari.,Saya ingin butiran pemulihan saya,Saya mahu bercakap dengan ejen,Tempoh sah tempoh kontrak?,"Saya ingin membayar, berapa jumlah akaun?","Tiada perkhidmatan, saya memerlukan bantuan",Saya ingin membayar bil yang belum dibayar tetapi autopay tidak berfungsi.,Telefon saya tidak boleh dipanggil sejak semalam,Saya tidak boleh menyambung ke internet walaupun saya mempunyai pasang tambah nilai,Saya cuba membuat panggilan dari China tetapi tidak berfungsi.,Apakah nombor akaun unifi saya?,Telefon saya disekat. Bolehkah saya mendapatkan Kod PUK saya?
Saya tidak mendapat penghantaran bil pertama ke e-mel saya selepas pemasangan. Sila nasihatkan,Adakah anda tahu bil saya dan jumlah pembayaran yang belum dibayar?,Saya ingin menaik taraf akaun ini untuk perkhidmatan turbo.,"Saya tidak boleh mengakses internet dan mudah alih, bolehkah anda menyemak sambungan perkhidmatan saya?","Tiada internet selama 5 hari, hubungi orang ramai sekarang",Tolong beri saya butiran pemulihan teknikal,Sambungkan saya ke pegawai anda sekarang,Adakah anda tahu kesahan kontrak saya?,Tolong beritahu saya jumlah bil yang saya berikan?,Saya tidak boleh menghubungi sesiapa kerana tiada perkhidmatan,Saya ingin membayar jumlah yang saya berikan,"Tiada siapa yang boleh memanggil saya hari ini, mengapa?",Internet saya tidak berfungsi selepas membeli tambah nilai pas,Saya tidak boleh menghubungi sesiapa sahaja dari China,Nombor akaun Unifi sila,Tidak boleh menggunakan telefon. Kod PUK sila
Bolehkah saya mendapatkan penghantaran bil ke e-mel saya? Saya tidak menerima apa-apa bil selepas pemasangan pertama saya,Apakah jumlah pembayaran dan bil saya yang belum dijelaskan?,Naik taraf akaun ini untuk turbo sila,Adakah terdapat masalah dengan sambungan perkhidmatan saya?,"Mengikuti pelantikan saya, sudah lima hari",Butiran pemulihan teknikal,Ejen chat langsung sila,apakah kesahihan kontrak ini?,Adakah anda tahu jumlah yang saya berikan?,Saya ingin membuat panggilan tetapi tiada perkhidmatan,Apakah yang salah dengan autopay? Saya tidak dapat membayar jumlah yang saya berikan,Saya belum menerima panggilan dari semalam,Saya membeli tambah nilai pas tetapi internet tidak berfungsi,Adakah anda menyokong memanggil orang dari China?,Apakah nombor akaun unifi yang saya ada?,"telefon saya disekat, bolehkah saya mempunyai kod PUK saya?"
