text,cat
auto no work,11
Bolehkah anda melakukan pemeriksaan lanjut mengenai status sambungan perkhidmatan?,5
Saya tidak boleh pergi ke internet selepas membeli pas tambahan,13
service not working ,12
Berapakah jumlah tertunggak dan bagaimana saya membuat pembayaran?,2
not able to make calls,12
please get me an agent!,7
Kenapa saya harus meneruskan TM apabila saya tidak dapat membuat panggilan asas?,12
why no autopay,11
What is the total amount i have to pay this time?,2
My phone is blocked and i need PUK code,16
Saya tidak mendapat penghantaran bil pertama ke e-mel saya selepas pemasangan. Sila nasihatkan,1
Bolehkah anda menghantar seseorang ke bawah untuk memeriksa sambungan internet saya,5
Apakah nombor akaun unifi yang saya ada?,15
Apa yang berlaku? Saya tidak boleh menggunakan semua perkhidmatan Internet dan telefon rumah!,4
need PUK ,16
I have multiple unifi accounts. What are the numbers?,15
Saya ingin bercakap dengan orang yang sebenar,7
mobile internet not working,4
internet and phone no work,4
MY INTERNET IS DOWN FOR 5 DAYS. DO SOMETHING,5
Bilakah kontrak saya bermula dan kapan akan berakhir?,8
Why is the bill not delivered to me? I request to receive an email copy of the bill,1
"No service, I need help",10
cannot get any calls please help,12
Is the telco having issues? I have no internet access ,4
"Saya mempunyai banyak akaun, apakah nombor akaun utama?",15
Saya ingin mendapatkan Kod PUK saya,16
"No internet for 5 days, call your people down now",5
What is my contract validity period?,8
May i know my validity period of my contract?,8
"Turbo service upgrade, please expedite",3
Adakah anda tahu jumlah yang saya berikan?,9
"Saya telah membayar tetapi isu autopay mempunyai masalah, jangan menghukum saya",11
What is the total amount for my current bill?,9
Fix my Internet and phone service NOW,4
I want to talk to agent,7
"I made payment but autopay didn’t work, not my problem",11
Saya memasuki pin sim salah dan saya perlukan kod PUK sekarang,16
Apakah jumlah bayaran saya yang belum dijelaskan?,9
My internet is down. I bought the reload pass,13
"Follow up on my appointment, it has been five days",5
Saya membuat pembayaran beberapa hari lagi. Berapakah jumlah tertunggak?,2
I would like to make a call but there is no service,10
What is my oustanding amount and my current billing amount?,9
Apakah tempoh sah saya?,8
"Phone call problems, please advise",12
What is the total amount i have to pay this time?,9
Customer has multiple account in unifi and would like to know the account number.                        ,15
"Customer is in china, he tries making a call but failed to do so.   ",14
Saya tidak mempunyai perkhidmatan pada telefon saya. Tolong saya,10
Bilakah tempoh kesahihan saya berakhir?,8
what is my outstanding payment amt,9
auto not work,11
"Saya membuat bayaran tetapi autopay tidak berfungsi, bukan masalah saya",11
I want to pay my outstanding amount please,11
What’s my account number in unifi?,15
Tell me my contract validity period?,8
Do you know my bill and outstanding payment amount?,2
Berikan saya kod PUK saya,16
"Autopay turun, berapakah jumlah yang saya berikan?",11
Apa yang salah dengan Telekom? Kenapa semua perkhidmatan saya turun?,4
Can you fix the autopay? I can’t make any payment ,11
Who is my technical restorer? ,6
Is there a problem with my service connection?,4
CSO NOW,7
Adakah terdapat masalah dengan sambungan perkhidmatan saya?,4
"Internet saya tidak berfungsi, sila semak",5
Customer wrongly entered the sim pin and the phone was blocked and request for PUK Code.       ,16
who is my technician?,6
"I cannot make calls, phone displays “no service”",10
No internet even after I paid for reload pass,13
Adakah perantauan di luar negara saya tidak suka? Saya tidak boleh membuat panggilan telefon,14
What is my payment amount outstanding?,9
Apakah yang salah dengan autopay? Saya tidak dapat membayar jumlah yang saya berikan,11
"SIM saya disekat, apakah kod PUK yang ia minta?",16
Please let me know my outstanding bill amount?,9
Display all my account number in unifi,15
no bill delivery to my email,1
Bilakah saya boleh berundur semula,8
Saya telah membeli tambah nilai data tetapi tidak berfungsi,13
"Saya tidak dapat menggunakan perkhidmatan Internet dan telefon selama 12 jam yang lalu, apakah perkhidmatan itu turun?",4
I would like to know if there is any outstanding amount before i make any payment?,2
Technical restorer details,6
"I would like to pay, what account amount?",9
How much do I need to pay for this month?,2
Saya tidak dapat menggunakan internet dan telefon saya. Apa yang terjadi?,4
Saya meminta peningkatan perkhidmatan turbo,3
Adakah telekomunikasi mempunyai masalah? Saya tidak mempunyai akses internet,4
Saya ingin membayar jumlah yang saya berikan,11
What is my outstanding payment and bill amount?,2
phone and net down,4
What is wrong with Telekom? Why are all my services down?,4
I made payment a few days back. How much is the oustanding amount?,2
"Tiada perkhidmatan, saya memerlukan bantuan",10
Bolehkah saya meningkatkan akaun saya ke turbo?,3
Naik taraf akaun ini untuk turbo sila,3
"Saya tidak boleh membuat panggilan, tiada perkhidmatan",10
I need to make payment for my outstanding amount but the autopay is not working,11
what is the name and handphone number of the restorer?,6
Saya tidak boleh menghubungi sesiapa sahaja dari China,14
Apakah nombor akaun unifi saya?,15
my service is not work,12
Robot go away,7
paid but no internet ,13
TM has not done anything for 5 days. Where is MY APPOINTMENT?,5
I made payment a few days back. How much is the oustanding amount?,9
Sila berikan saya nama dan hubungi tiada pemulih,6
"Saya ingin membayar, berapa jumlah akaun?",9
Can you do a further check on the service connection status?,5
restorer number please?,6
Please let me know the total bill amount for this month,9
Saya telah cuba membuat panggilan tetapi ia tidak berfungsi dari China,14
"Saya tidak boleh membuat panggilan, telefon memaparkan ""tiada perkhidmatan""",10
turbo service,3
INTERNET saya turun selama 5 hari. LAKUKAN SESUATU,5
When will i receive my billing as my service installation is done?,1
Why my phone cannot make phone call??,10
When are all the services going to recover?,4
